,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,income_per_person,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,income_level_poor,income_level_mid,income_level_upper-mid,income_level_rich,median_house_value
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,6.984126984126984,2.5555555555555554,0.02585465838509317,False,False,False,True,False,False,False,False,True,452600.0
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,6.238137082601054,2.109841827768014,0.0034574760516451475,False,False,False,True,False,False,False,True,False,358500.0
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,8.288135593220339,2.8022598870056497,0.014631854838709676,False,False,False,True,False,False,False,False,True,352100.0
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,5.8173515981735155,2.547945205479452,0.010113082437275985,False,False,False,True,False,False,False,False,True,341300.0
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,6.281853281853282,2.1814671814671813,0.0068074336283185845,False,False,False,True,False,False,False,True,False,342200.0
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,4.761658031088083,2.139896373056995,0.009774334140435836,False,False,False,True,False,False,False,False,True,269700.0
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,4.9319066147859925,2.1284046692607004,0.003344698354661792,False,False,False,True,False,False,False,True,False,299200.0
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,4.797527047913447,1.7882534775888717,0.002696629213483146,False,False,False,True,False,False,True,False,False,241400.0
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,4.294117647058823,2.026890756302521,0.0017250414593698176,False,False,False,True,False,True,False,False,False,226700.0
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,4.970588235294118,2.172268907563025,0.0023798839458413924,False,False,False,True,False,False,True,False,False,261100.0
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,5.477611940298507,2.263681592039801,0.00351989010989011,False,False,False,True,False,False,False,True,False,281500.0
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,4.772479564032698,2.0490463215258856,0.002174534574468085,False,False,False,True,False,False,True,False,False,241800.0
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,5.322649572649572,2.3461538461538463,0.002800546448087432,False,False,False,True,False,False,True,False,False,213500.0
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,4.0,1.9827586206896552,0.0077495652173913045,False,False,False,True,False,False,False,True,False,191300.0
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,4.262903225806451,1.9548387096774194,0.0015814356435643565,False,False,False,True,False,True,False,False,False,159200.0
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,4.242424242424242,2.640151515151515,0.003048780487804878,False,False,False,True,False,False,False,True,False,140000.0
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,5.9395770392749245,2.395770392749245,0.0034993694829760402,False,False,False,True,False,False,False,True,False,152500.0
17,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,4.052805280528053,2.1386138613861387,0.003271913580246914,False,False,False,True,False,False,False,True,False,155500.0
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,5.343675417661098,2.3627684964200477,0.002011212121212121,False,False,False,True,False,False,True,False,False,158700.0
19,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,5.465454545454546,2.5090909090909093,0.0037728985507246376,False,False,False,True,False,False,False,True,False,162900.0
20,-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,4.524096385542169,2.463855421686747,0.0033198044009779947,False,False,False,True,False,False,False,True,False,147500.0
21,-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,4.478142076502732,2.5382513661202184,0.0018444564047362755,False,False,False,True,False,False,True,False,False,159800.0
22,-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,5.096234309623431,2.1234309623430963,0.0016995073891625616,False,False,False,True,False,True,False,False,False,113900.0
23,-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,5.193846153846154,2.624615384615385,0.0025563892145369286,False,False,False,True,False,False,True,False,False,99700.0
24,-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,5.270142180094787,2.3838862559241707,0.002584493041749503,False,False,False,True,False,False,True,False,False,132600.0
25,-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,4.495798319327731,2.6638655462184873,0.0075829652996845425,False,False,False,True,False,False,False,True,False,107500.0
26,-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,4.7280334728033475,2.5397489539748954,0.004052224052718287,False,False,False,True,False,False,False,True,False,93800.0
27,-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,4.7808564231738035,2.7758186397984885,0.0016406533575317604,False,False,False,True,False,True,False,False,False,105500.0
28,-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,4.40169133192389,2.3911205073995774,0.0014521662245800177,False,False,False,True,False,True,False,False,False,108900.0
29,-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,4.703225806451613,2.5483870967741935,0.004272151898734177,False,False,False,True,False,False,False,True,False,132000.0
30,-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,5.068783068783069,2.2830687830687832,0.002233371958285052,False,False,False,True,False,False,True,False,False,122300.0
31,-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,4.882086167800454,2.6485260770975056,0.0016793664383561644,False,False,False,True,False,True,False,False,False,115200.0
32,-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,5.737313432835821,3.062686567164179,0.0017513645224171539,False,False,False,True,False,True,False,False,False,110400.0
33,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,5.0303951367781155,2.291793313069909,0.001823607427055703,False,False,False,True,False,False,True,False,False,104900.0
34,-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,4.972014925373134,2.3470149253731343,0.002170349761526232,False,False,False,True,False,False,True,False,False,109700.0
35,-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,4.6022727272727275,2.159090909090909,0.0026071929824561402,False,False,False,True,False,False,True,False,False,97200.0
36,-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,4.807486631016043,2.6390374331550803,0.0011116514690982775,False,False,False,True,False,True,False,False,False,104500.0
37,-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,3.7493796526054592,2.235732009925558,0.001565260821309656,False,False,False,True,False,True,False,False,False,103900.0
38,-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,4.757281553398058,2.2297734627831716,0.005050798258345428,False,False,False,True,False,False,False,True,False,191400.0
39,-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,3.4942528735632186,1.978448275862069,0.0018807552650689904,False,False,False,True,False,False,True,False,False,176000.0
40,-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,4.215189873417722,2.3949367088607594,0.0022175475687103595,False,False,False,True,False,False,True,False,False,155400.0
41,-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,3.7590361445783134,2.076305220883534,0.0024858800773694388,False,False,False,True,False,False,True,False,False,150000.0
42,-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,3.7724867724867726,2.4444444444444446,0.0022186147186147183,False,False,False,True,False,False,True,False,False,118800.0
43,-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,4.797979797979798,2.3585858585858586,0.008488865096359743,False,False,False,True,False,False,False,True,False,188800.0
44,-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,4.941780821917808,2.26027397260274,0.004564393939393939,False,False,False,True,False,False,False,True,False,184400.0
45,-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,4.335078534031414,1.8795811518324608,0.003728133704735376,False,False,False,True,False,False,False,True,False,182300.0
46,-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,3.700657894736842,2.026315789473684,0.003288961038961039,False,False,False,True,False,False,False,True,False,142500.0
47,-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,3.9802371541501977,2.205533596837945,0.0031089605734767023,False,False,False,True,False,False,False,True,False,137500.0
48,-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,3.9,2.64375,0.0022472813238770687,False,False,False,True,False,False,True,False,False,187500.0
49,-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,2.6875,1.9886363636363635,0.0025357142857142857,False,False,False,True,False,False,True,False,False,112500.0
50,-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,2.045662100456621,1.678082191780822,0.0012541496598639456,False,False,False,True,False,True,False,False,False,171900.0
51,-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,4.58968058968059,2.6068796068796067,0.0014180018850141376,False,False,False,True,False,True,False,False,False,93800.0
52,-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,4.473611111111111,2.720833333333333,0.0005670239918325676,False,False,False,True,False,True,False,False,False,97500.0
53,-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,4.075,2.905,0.001073580034423408,False,False,False,True,False,True,False,False,False,104200.0
54,-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,5.021459227467811,3.0085836909871246,0.0022964336661911553,False,False,False,True,False,False,True,False,False,87500.0
55,-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,4.295454545454546,2.618181818181818,0.0024501736111111113,False,False,False,True,False,False,True,False,False,83100.0
56,-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,4.77992277992278,2.4015444015444016,0.0024207395498392283,False,False,False,True,False,False,True,False,False,87500.0
57,-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,6.102459016393443,2.9836065573770494,0.0011225274725274726,False,False,False,True,False,True,False,False,False,85300.0
58,-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,4.5625,3.5328947368421053,0.0011332402234636872,False,False,False,True,False,True,False,False,False,80300.0
59,-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,2.7719298245614037,1.6491228070175439,0.02726063829787234,False,False,False,True,False,False,False,False,True,60000.0
60,-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,5.994652406417113,2.962566844919786,0.006124368231046931,False,False,False,True,False,False,False,True,False,75700.0
61,-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,5.869565217391305,3.739130434782609,0.07114302325581395,False,False,False,True,False,False,False,False,True,75000.0
62,-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,6.229508196721311,3.0901639344262297,0.002390185676392573,False,False,False,True,False,False,True,False,False,86100.0
63,-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,7.69811320754717,3.2767295597484276,0.002285988483685221,False,False,False,True,False,False,True,False,False,76100.0
64,-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,6.225563909774436,2.9473684210526314,0.006616836734693877,False,False,False,True,False,False,False,True,False,73500.0
65,-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,5.401069518716578,3.229946524064171,0.0019316225165562915,False,False,False,True,False,False,True,False,False,78400.0
66,-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,4.382530120481928,2.3734939759036147,0.0010223350253807106,False,False,False,True,False,True,False,False,False,84400.0
67,-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,6.98639455782313,3.3469387755102042,0.005303658536585366,False,False,False,True,False,False,False,True,False,81300.0
68,-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,6.975609756097561,3.341463414634146,0.0067576642335766424,False,False,False,True,False,False,False,True,False,85000.0
69,-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,4.584288052373159,2.983633387888707,0.0005376851343938563,False,False,False,True,False,True,False,False,False,129200.0
70,-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,6.047244094488189,3.0866141732283463,0.00452015306122449,False,False,False,True,False,False,False,True,False,82500.0
71,-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,3.375451263537906,2.101083032490975,0.0012518900343642613,False,False,False,True,False,True,False,False,False,95200.0
72,-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,5.552631578947368,3.6842105263157894,0.003125,False,False,False,True,False,False,False,True,False,75000.0
73,-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,1.7142857142857142,2.5714285714285716,0.027772222222222222,False,False,False,True,False,False,False,False,True,67500.0
74,-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,6.2781954887218046,2.180451127819549,0.008562068965517242,False,False,False,True,False,False,False,False,True,137500.0
75,-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,2.8177676537585423,1.7357630979498861,0.001212729658792651,False,False,False,True,False,True,False,False,False,177500.0
76,-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,5.724950884086444,2.4282907662082516,0.0019792880258899677,False,False,False,True,False,False,True,False,False,102100.0
77,-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,5.830917874396135,3.4830917874396135,0.0015410540915395284,False,False,False,True,False,True,False,False,False,108300.0
78,-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,5.369230769230769,3.243076923076923,0.0007614800759013282,False,False,False,True,False,True,False,False,False,112500.0
79,-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,4.412903225806452,2.2193548387096773,0.005847093023255814,False,False,False,True,False,False,False,True,False,131300.0
80,-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,3.1972318339100347,2.1072664359861593,0.0024630541871921183,False,False,False,True,False,False,True,False,False,162500.0
81,-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,3.75,3.267857142857143,0.006375409836065574,False,False,False,True,False,False,False,True,False,112500.0
82,-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,3.9080459770114944,2.2988505747126435,0.007604,False,False,False,True,False,False,False,True,False,112500.0
83,-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,2.490322580645161,2.232258064516129,0.0023338150289017342,False,False,False,True,False,False,True,False,False,137500.0
84,-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,5.609467455621302,2.7633136094674557,0.003873233404710921,False,False,False,True,False,False,False,True,False,118800.0
85,-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,6.721739130434782,3.2782608695652176,0.006388063660477454,False,False,False,True,False,False,False,True,False,98200.0
86,-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,2.3157894736842106,1.5315789473684212,0.0016786941580756013,False,False,False,True,False,True,False,False,False,118800.0
87,-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,2.6515151515151514,1.6545454545454545,0.001391941391941392,False,False,False,True,False,True,False,False,False,162500.0
88,-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,2.6923076923076925,3.2051282051282053,0.0077776,False,False,False,True,False,False,False,True,False,137500.0
89,-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,2.929411764705882,4.658823529411765,0.00313989898989899,False,False,False,True,False,False,False,True,False,500001.0
90,-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,2.74585635359116,2.2099447513812156,0.00261725,False,False,False,True,False,False,True,False,False,162500.0
91,-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,2.4431818181818183,10.272727272727273,0.000958849557522124,False,False,False,True,False,True,False,False,False,137500.0
92,-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,2.823529411764706,5.617647058823529,0.003926701570680628,False,False,False,True,False,False,False,True,False,162500.0
93,-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,3.493377483443709,2.377483443708609,0.003670473537604457,False,False,False,True,False,False,False,True,False,187500.0
94,-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,3.6723768736616704,2.841541755888651,0.0013923888470233608,False,False,False,True,False,True,False,False,False,179200.0
95,-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,2.294016358157555,1.493327593628928,0.0005793023926203517,False,False,False,True,False,True,False,False,False,130000.0
96,-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,3.8949152542372882,1.735593220338983,0.001384033203125,False,False,False,True,False,True,False,False,False,183800.0
97,-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,3.681318681318681,2.21978021978022,0.009931683168316833,False,False,False,True,False,False,False,False,True,125000.0
98,-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,2.9456,1.6192,0.0006020256916996047,False,False,False,True,False,True,False,False,False,170000.0
99,-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,3.7071428571428573,1.8755102040816327,0.001420239390642002,False,False,False,True,False,True,False,False,False,193100.0
100,-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,3.7248,1.8432,0.00108125,False,False,False,True,False,True,False,False,False,257800.0
101,-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,3.8784235136940546,1.7120908483633934,0.0012554428404213812,False,False,False,True,False,True,False,False,False,273400.0
102,-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,3.745614035087719,1.706140350877193,0.008033419023136246,False,False,False,True,False,False,False,True,False,237500.0
103,-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,3.5154975530179446,1.4600326264274062,0.002882122905027933,False,False,False,True,False,False,True,False,False,350000.0
104,-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,3.281721632196758,1.5030743432084963,0.001056377835626627,False,False,False,True,False,True,False,False,False,335700.0
105,-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,6.184426229508197,2.762295081967213,0.0073154302670623145,False,False,False,True,False,False,False,True,False,313400.0
106,-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,4.442982456140351,1.5548245614035088,0.004615937940761636,False,False,False,True,False,False,False,True,False,268500.0
107,-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,4.165876777251185,1.6255924170616114,0.004619679300291545,False,False,False,True,False,False,False,True,False,259400.0
108,-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,4.848189415041783,2.011142061281337,0.002700831024930748,False,False,False,True,False,False,True,False,False,275700.0
109,-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,4.160847880299252,1.8952618453865338,0.002569934210526316,False,False,False,True,False,False,True,False,False,225000.0
110,-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,5.628458498023716,2.1739130434782608,0.009257636363636364,False,False,False,True,False,False,False,False,True,262500.0
111,-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,3.7270058708414875,1.7671232876712328,0.0014633997785160576,False,False,False,True,False,True,False,False,False,218500.0
112,-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,3.2530813475760065,1.4371405094494658,0.0017285877644368209,False,False,False,True,False,True,False,False,False,255000.0
113,-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,4.578034682080925,1.8092485549132948,0.0033529286474973377,False,False,False,True,False,False,False,True,False,224100.0
114,-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,3.822274881516588,1.599526066350711,0.005144,False,False,False,True,False,False,False,True,False,243100.0
115,-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,4.3951890034364265,1.8350515463917525,0.005885580524344569,False,False,False,True,False,False,False,True,False,231600.0
116,-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,3.0234798314268514,1.5400361228175798,0.0009473807662236122,False,False,False,True,False,True,False,False,False,218500.0
117,-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,4.040501446480231,1.7222757955641272,0.0017299552071668534,False,False,False,True,False,True,False,False,False,234100.0
118,-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,6.742627345844504,2.6005361930294906,0.0060408247422680415,False,False,False,True,False,False,False,True,False,327600.0
119,-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,6.546391752577319,2.263917525773196,0.004814936247723133,False,False,False,True,False,False,False,True,False,347600.0
120,-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,6.851063829787234,2.1117021276595747,0.0075012594458438294,False,False,False,True,False,False,False,True,False,366100.0
121,-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,7.1063829787234045,2.0851063829787235,0.05065612244897959,False,False,False,True,False,False,False,False,True,335000.0
122,-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,6.947890818858561,2.632754342431762,0.005978699340245051,False,False,False,True,False,False,False,True,False,373600.0
123,-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,6.358558558558559,2.120720720720721,0.0043987255734919285,False,False,False,True,False,False,False,True,False,389500.0
124,-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,7.11716621253406,2.455040871934605,0.00803041065482797,False,False,False,True,False,False,False,True,False,391100.0
125,-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,5.5303347280334725,2.1244769874476988,0.0026868537666174296,False,False,False,True,False,False,True,False,False,337300.0
126,-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,6.127348643006263,2.152400835073069,0.0072744907856450046,False,False,False,True,False,False,False,True,False,295200.0
127,-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,5.735343383584589,2.274706867671692,0.004432547864506627,False,False,False,True,False,False,False,True,False,292300.0
128,-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,7.631498470948012,2.470948012232416,0.004674752475247525,False,False,False,True,False,False,False,True,False,411500.0
129,-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,6.446064139941691,2.4606413994169096,0.007187914691943128,False,False,False,True,False,False,False,True,False,311500.0
130,-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,6.125,2.2983870967741935,0.006188421052631579,False,False,False,True,False,False,False,True,False,325900.0
131,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,8.335051546391753,2.747422680412371,0.021766791744840523,False,False,False,True,False,False,False,False,True,392600.0
132,-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,6.467268623024831,2.419864559819413,0.006985261194029851,False,False,False,True,False,False,False,True,False,319300.0
133,-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,6.6122715404699735,2.1240208877284594,0.004239459127228027,False,False,False,True,False,False,False,True,False,333300.0
134,-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,6.978947368421053,2.4368421052631577,0.017721166306695464,False,False,False,True,False,False,False,False,True,335200.0
135,-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,7.530805687203792,2.5687203791469195,0.0155,False,False,False,True,False,False,False,False,True,351200.0
