,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,bedrooms_per_room,population_per_household,rooms_per_household,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,,,,,,,,
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,,,,,,,,
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,,,,,,,,
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,,,,,,,,
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,,,,,,,,
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,,,,,,,,
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,,,,,,,,
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,,,,,,,,
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,,,,,,,,
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,,,,,,,,
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,,,,,,,,
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,,,,,,,,
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,,,,,,,,
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,,,,,,,,
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,,,,,,,,
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,,,,,,,,
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,,,,,,,,
17,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,,,,,,,,
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,,,,,,,,
19,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,,,,,,,,
