iter	Passed	Remaining
0	5	10519
1	10	9534
2	16	9538
3	21	9586
4	26	9418
5	31	9496
6	36	9406
7	42	9471
8	47	9481
9	53	9572
10	59	9613
11	65	9646
12	71	9726
13	76	9669
14	82	9716
15	87	9680
16	92	9704
17	98	9698
18	104	9734
19	109	9718
20	115	9770
21	121	9803
22	127	9796
23	133	9817
24	138	9789
25	144	9807
26	150	9805
27	155	9809
28	161	9798
29	166	9798
30	172	9780
31	178	9806
32	184	9807
33	190	9851
34	197	9897
35	205	9994
36	212	10075
37	219	10110
38	227	10198
39	240	10528
40	254	10850
41	262	10920
42	272	11087
43	292	11595
44	304	11813
45	331	12578
46	343	12744
47	362	13161
48	377	13403
49	391	13629
50	406	13871
51	418	14011
52	432	14175
53	442	14230
54	464	14652
55	475	14745
56	485	14757
57	496	14849
58	516	15173
59	531	15328
60	539	15287
61	550	15364
62	559	15348
63	569	15377
64	578	15368
65	588	15369
66	598	15408
67	609	15445
68	616	15386
69	624	15360
70	631	15308
71	637	15223
72	644	15175
73	653	15152
74	664	15193
75	675	15253
76	684	15237
77	693	15227
78	699	15169
79	707	15133
80	715	15097
81	723	15079
82	730	15036
83	738	15013
84	745	14966
85	754	14948
86	763	14958
87	773	14959
88	783	14976
89	791	14960
90	799	14927
91	807	14916
92	815	14886
93	822	14851
94	836	14937
95	846	14938
96	854	14918
97	860	14872
98	868	14847
99	874	14794
100	881	14747
101	887	14703
102	894	14655
103	900	14603
104	906	14552
105	912	14499
106	919	14465
107	924	14407
108	930	14363
109	936	14317
110	942	14268
111	949	14238
112	955	14187
113	961	14142
114	968	14117
115	974	14073
116	981	14048
117	989	14022
118	996	13996
119	1003	13979
120	1009	13930
121	1015	13893
122	1021	13850
123	1029	13837
124	1050	14006
125	1058	13987
126	1070	14022
127	1077	14004
128	1092	14071
129	1100	14065
130	1107	14029
131	1113	13996
132	1119	13953
133	1124	13902
134	1130	13863
135	1136	13831
136	1147	13856
137	1154	13829
138	1161	13810
139	1169	13791
140	1175	13760
141	1183	13741
142	1189	13709
143	1196	13680
144	1204	13672
145	1216	13702
146	1221	13665
147	1228	13638
148	1234	13605
149	1240	13575
150	1246	13537
151	1252	13505
152	1256	13454
153	1262	13423
154	1271	13416
155	1278	13403
156	1286	13394
157	1303	13470
158	1312	13474
159	1325	13513
160	1333	13499
161	1342	13499
162	1353	13517
163	1366	13554
164	1383	13637
165	1396	13668
166	1405	13665
167	1412	13644
168	1421	13640
169	1428	13619
170	1435	13603
171	1442	13578
172	1449	13555
173	1456	13533
174	1463	13514
175	1469	13486
176	1487	13567
177	1501	13609
178	1511	13607
179	1520	13607
180	1531	13621
181	1539	13607
182	1546	13589
183	1570	13719
184	1579	13714
185	1598	13797
186	1607	13790
187	1615	13775
188	1621	13745
189	1629	13728
190	1637	13716
191	1645	13705
192	1652	13682
193	1660	13665
194	1667	13648
195	1673	13621
196	1683	13618
197	1690	13601
198	1699	13592
199	1706	13577
200	1715	13567
201	1722	13547
202	1729	13526
203	1735	13504
204	1742	13483
205	1749	13459
206	1756	13437
207	1762	13411
208	1768	13386
209	1774	13360
210	1781	13337
211	1787	13312
212	1794	13295
213	1801	13273
214	1808	13259
215	1816	13244
216	1823	13227
217	1832	13222
218	1838	13200
219	1845	13175
220	1852	13159
221	1858	13136
222	1865	13117
223	1872	13097
224	1878	13072
225	1884	13049
226	1891	13030
227	1897	13011
228	1905	12996
229	1915	13001
230	1922	12986
231	1929	12962
232	1936	12947
233	1942	12927
234	1949	12905
235	1955	12887
236	1962	12866
237	1968	12847
238	1976	12837
239	1982	12814
240	1989	12795
241	1995	12771
242	2001	12751
243	2021	12815
244	2030	12812
245	2040	12814
246	2049	12813
247	2066	12858
248	2075	12854
249	2088	12875
250	2096	12863
251	2104	12850
252	2111	12834
253	2124	12852
254	2131	12840
255	2138	12820
256	2145	12807
257	2152	12787
258	2159	12772
259	2165	12748
260	2173	12740
261	2195	12811
262	2202	12795
263	2208	12775
264	2214	12753
265	2222	12741
266	2227	12716
267	2234	12699
268	2241	12684
269	2248	12666
270	2255	12648
271	2261	12631
272	2268	12614
273	2275	12598
274	2282	12582
275	2289	12568
276	2297	12557
277	2305	12549
278	2312	12533
279	2319	12514
280	2325	12496
281	2332	12479
282	2338	12461
283	2345	12444
284	2354	12443
285	2361	12428
286	2375	12446
287	2384	12442
288	2392	12434
289	2403	12441
290	2410	12425
291	2417	12410
292	2424	12395
293	2432	12385
294	2440	12375
295	2450	12377
296	2458	12369
297	2472	12386
298	2479	12374
299	2497	12412
300	2505	12403
301	2522	12435
302	2534	12447
303	2543	12441
304	2551	12429
305	2581	12530
306	2595	12547
307	2629	12659
308	2654	12729
309	2685	12829
310	2695	12826
311	2702	12812
312	2711	12805
313	2721	12802
314	2729	12791
315	2737	12778
316	2744	12762
317	2751	12743
318	2759	12732
319	2766	12716
320	2773	12700
321	2780	12685
322	2787	12669
323	2793	12649
324	2800	12632
325	2809	12626
326	2817	12613
327	2850	12712
328	2856	12695
329	2862	12673
330	2868	12654
331	2875	12634
332	2881	12615
333	2887	12596
334	2894	12579
335	2900	12560
336	2907	12546
337	2914	12528
338	2921	12513
339	2928	12498
340	2934	12479
341	2941	12461
342	2946	12440
343	2954	12428
344	2959	12405
345	2967	12393
346	2974	12378
347	2981	12363
348	2989	12350
349	2995	12332
350	3001	12312
351	3007	12293
352	3012	12272
353	3018	12253
354	3024	12233
355	3030	12214
356	3035	12193
357	3041	12174
358	3047	12155
359	3053	12137
360	3058	12116
361	3064	12097
362	3070	12077
363	3076	12059
364	3081	12038
365	3086	12018
366	3093	12001
367	3098	11982
368	3104	11965
369	3110	11946
370	3116	11929
371	3123	11913
372	3129	11896
373	3134	11877
374	3141	11861
375	3147	11843
376	3153	11827
377	3159	11809
378	3165	11795
379	3173	11783
380	3179	11768
381	3186	11752
382	3192	11735
383	3201	11731
384	3208	11716
385	3214	11701
386	3220	11683
387	3228	11675
388	3235	11659
389	3241	11643
390	3247	11626
391	3253	11610
392	3258	11592
393	3265	11576
394	3270	11558
395	3277	11544
396	3282	11525
397	3288	11510
398	3294	11494
399	3300	11477
400	3306	11462
401	3312	11444
402	3317	11425
403	3323	11411
404	3329	11395
405	3335	11377
406	3341	11362
407	3347	11345
408	3353	11331
409	3359	11315
410	3365	11300
411	3371	11284
412	3379	11274
413	3384	11257
414	3391	11244
415	3397	11231
416	3405	11219
417	3411	11205
418	3416	11187
419	3424	11180
420	3431	11166
421	3439	11159
422	3448	11151
423	3456	11145
424	3495	11235
425	3501	11218
426	3507	11205
427	3512	11186
428	3518	11170
429	3524	11154
430	3530	11139
431	3535	11123
432	3542	11108
433	3547	11092
434	3555	11082
435	3562	11071
436	3569	11061
437	3575	11046
438	3582	11034
439	3588	11018
440	3594	11004
441	3601	10991
442	3607	10977
443	3613	10962
444	3624	10962
445	3630	10948
446	3646	10963
447	3652	10949
448	3660	10939
449	3667	10929
450	3673	10915
451	3680	10904
452	3688	10893
453	3695	10882
454	3701	10868
455	3707	10854
456	3713	10839
457	3719	10826
458	3725	10810
459	3731	10797
460	3737	10782
461	3743	10769
462	3750	10757
463	3757	10746
464	3764	10733
465	3771	10723
466	3776	10707
467	3784	10697
468	3790	10683
469	3796	10669
470	3803	10659
471	3809	10645
472	3816	10633
473	3822	10620
474	3829	10608
475	3835	10594
476	3841	10582
477	3847	10568
478	3853	10555
479	3859	10541
480	3866	10530
481	3872	10517
482	3879	10506
483	3886	10494
484	3892	10482
485	3898	10469
486	3905	10457
487	3912	10445
488	3918	10433
489	3924	10421
490	3931	10409
491	3939	10400
492	3946	10391
493	3953	10379
494	3961	10371
495	3968	10360
496	3975	10349
497	3981	10338
498	3988	10327
499	3995	10317
500	4003	10308
501	4012	10302
502	4020	10295
503	4028	10287
504	4036	10279
505	4043	10267
506	4050	10258
507	4057	10248
508	4064	10238
509	4073	10231
510	4080	10220
511	4086	10209
512	4094	10199
513	4118	10231
514	4124	10218
515	4129	10204
516	4136	10193
517	4142	10179
518	4148	10168
519	4155	10156
520	4162	10145
521	4169	10135
522	4175	10122
523	4181	10110
524	4187	10099
525	4194	10086
526	4201	10076
527	4206	10063
528	4214	10053
529	4219	10040
530	4226	10029
531	4233	10018
532	4238	10004
533	4245	9992
534	4251	9981
535	4258	9970
536	4264	9957
537	4271	9949
538	4278	9937
539	4285	9927
540	4291	9915
541	4297	9902
542	4303	9890
543	4309	9877
544	4315	9866
545	4321	9853
546	4327	9842
547	4333	9829
548	4339	9818
549	4345	9804
550	4352	9794
551	4357	9781
552	4364	9769
553	4369	9756
554	4376	9745
555	4381	9732
556	4387	9720
557	4393	9708
558	4399	9696
559	4406	9685
560	4411	9672
561	4418	9661
562	4423	9649
563	4430	9637
564	4436	9627
565	4442	9615
566	4449	9604
567	4456	9594
568	4461	9582
569	4468	9571
570	4473	9559
571	4480	9548
572	4486	9536
573	4492	9524
574	4498	9513
575	4505	9502
576	4510	9490
577	4517	9480
578	4525	9473
579	4533	9465
580	4541	9457
581	4552	9457
582	4561	9451
583	4572	9450
584	4580	9442
585	4591	9440
586	4598	9432
587	4608	9429
588	4623	9435
589	4631	9428
590	4639	9419
591	4647	9411
592	4655	9404
593	4663	9396
594	4670	9388
595	4678	9380
596	4686	9372
597	4694	9366
598	4701	9356
599	4710	9349
600	4718	9342
601	4725	9334
602	4733	9325
603	4740	9316
604	4748	9308
605	4754	9297
606	4762	9290
607	4769	9281
608	4779	9276
609	4787	9268
610	4796	9262
611	4804	9255
612	4822	9267
613	4828	9255
614	4838	9252
615	4866	9281
616	4872	9270
617	4877	9258
618	4883	9245
619	4889	9234
620	4895	9223
621	4901	9212
622	4908	9201
623	4914	9191
624	4920	9179
625	4926	9168
626	4932	9157
627	4939	9147
628	4949	9143
629	4968	9156
630	4975	9146
631	4982	9138
632	4991	9131
633	5000	9125
634	5008	9117
635	5013	9105
636	5021	9096
637	5027	9086
638	5036	9079
639	5043	9069
640	5067	9091
641	5073	9080
642	5081	9071
643	5086	9060
644	5094	9052
645	5102	9043
646	5109	9034
647	5115	9023
648	5122	9013
649	5129	9003
650	5135	8993
651	5142	8983
652	5149	8974
653	5156	8965
654	5162	8954
655	5169	8944
656	5178	8937
657	5185	8928
658	5191	8917
659	5198	8908
660	5205	8898
661	5212	8888
662	5219	8879
663	5226	8870
664	5233	8861
665	5243	8857
666	5252	8851
667	5261	8845
668	5267	8835
669	5274	8825
670	5281	8814
671	5287	8804
672	5293	8794
673	5300	8783
674	5305	8772
675	5312	8762
676	5317	8750
677	5324	8740
678	5330	8730
679	5336	8719
680	5342	8708
681	5349	8698
682	5355	8687
683	5361	8677
684	5367	8666
685	5374	8657
686	5381	8648
687	5392	8645
688	5405	8646
689	5411	8635
690	5420	8628
691	5426	8618
692	5434	8609
693	5440	8600
694	5448	8591
695	5458	8587
696	5487	8612
697	5496	8606
698	5503	8598
699	5526	8613
700	5532	8602
701	5541	8596
702	5548	8587
703	5556	8578
704	5563	8569
705	5569	8559
706	5576	8550
707	5583	8540
708	5589	8530
709	5596	8521
710	5603	8511
711	5610	8501
712	5616	8491
713	5623	8482
714	5629	8472
715	5636	8463
716	5643	8453
717	5650	8444
718	5657	8435
719	5664	8425
720	5670	8415
721	5677	8406
722	5684	8396
723	5693	8391
724	5701	8382
725	5710	8376
726	5718	8369
727	5727	8362
728	5733	8352
729	5740	8343
730	5748	8335
731	5755	8326
732	5763	8318
733	5770	8309
734	5777	8301
735	5786	8294
736	5795	8288
737	5802	8279
738	5812	8274
739	5831	8282
740	5837	8272
741	5843	8260
742	5868	8277
743	5878	8273
744	5885	8263
745	5892	8253
746	5899	8245
747	5906	8236
748	5913	8227
749	5924	8223
750	5940	8226
751	5947	8216
752	5953	8207
753	5960	8197
754	5967	8188
755	5974	8179
756	5984	8173
757	5993	8167
758	6003	8162
759	6011	8155
760	6018	8145
761	6025	8136
762	6031	8126
763	6038	8117
764	6045	8107
765	6052	8098
766	6058	8088
767	6066	8080
768	6071	8069
769	6079	8061
770	6088	8055
771	6095	8045
772	6102	8036
773	6109	8027
774	6114	8016
775	6121	8007
776	6127	7996
777	6133	7986
778	6139	7976
779	6145	7965
780	6152	7955
781	6157	7944
782	6162	7933
783	6169	7923
784	6175	7913
785	6182	7905
786	6188	7895
787	6195	7886
788	6201	7876
789	6208	7867
790	6216	7859
791	6225	7852
792	6232	7843
793	6239	7834
794	6245	7824
795	6252	7815
796	6258	7805
797	6267	7799
798	6278	7794
799	6285	7785
800	6291	7776
801	6297	7766
802	6303	7755
803	6309	7746
804	6315	7735
805	6322	7726
806	6327	7715
807	6334	7705
808	6339	7695
809	6346	7685
810	6351	7675
811	6358	7665
812	6363	7655
813	6369	7645
814	6375	7634
815	6381	7624
816	6387	7614
817	6394	7606
818	6401	7597
819	6407	7587
820	6414	7579
821	6421	7569
822	6428	7561
823	6435	7552
824	6441	7542
825	6447	7532
