iter	Quantile:alpha=0.9
0	25119.28949
1	24766.1483
2	24420.13788
3	24064.006
4	23711.63585
5	23398.90917
6	23042.07295
7	22702.29689
8	22374.67302
9	22068.48794
10	21768.05433
11	21488.18528
12	21194.10688
13	20948.53909
14	20710.7666
15	20442.49464
16	20184.45804
17	19932.10008
18	19708.43276
19	19470.95344
20	19271.00284
21	19047.92298
22	18836.4364
23	18635.21689
24	18442.70697
25	18257.05728
26	18060.11958
27	17898.22206
28	17719.11146
29	17542.65379
30	17373.72471
31	17206.65589
32	17045.68256
33	16888.46653
34	16750.38965
35	16600.15718
36	16458.26774
37	16322.08872
38	16190.3811
39	16066.39526
40	15940.32258
41	15821.80783
42	15718.13198
43	15610.9638
44	15484.34647
45	15364.99465
46	15254.26825
47	15135.23757
48	15021.15414
49	14923.87997
50	14837.39079
51	14741.28123
52	14641.67462
53	14557.10936
54	14473.95139
55	14384.55814
56	14297.72544
57	14209.08802
58	14112.27548
59	14036.60478
60	13968.34151
61	13893.94813
62	13811.93012
63	13743.89605
64	13689.7477
65	13637.63702
66	13569.69336
67	13522.50674
68	13464.33423
69	13403.40101
70	13345.69575
71	13296.47209
72	13244.66093
73	13189.04785
74	13131.98508
75	13072.86995
76	13004.51757
77	12964.64108
78	12902.98414
79	12842.75059
80	12800.04642
81	12752.86771
82	12712.18148
83	12674.93606
84	12634.95073
85	12591.43261
86	12538.48854
87	12493.06347
88	12459.29043
89	12419.79945
90	12386.40243
91	12349.17482
92	12318.56317
93	12283.95419
94	12247.5086
95	12212.92847
96	12184.02352
97	12153.3026
98	12124.81483
99	12098.90278
100	12058.42624
101	12026.10301
102	11990.7006
103	11954.01996
104	11921.32664
105	11895.36597
106	11869.33112
107	11842.20975
108	11820.89832
109	11804.8686
110	11780.55761
111	11763.47854
112	11739.72146
113	11715.35757
114	11692.69904
115	11668.31072
116	11649.86833
117	11632.49821
118	11611.57067
119	11587.30959
120	11566.57875
121	11553.00581
122	11538.51274
123	11512.19638
124	11494.74498
125	11486.31988
126	11473.54826
127	11451.33348
128	11431.1962
129	11421.97699
130	11403.96498
131	11394.58442
132	11377.48333
133	11360.37333
134	11343.2314
135	11332.20019
136	11320.20916
137	11311.5333
138	11297.24406
139	11279.36164
140	11269.1348
141	11258.45118
142	11250.21861
143	11240.31869
144	11232.65233
145	11226.73255
146	11214.38918
147	11205.64934
148	11194.3027
149	11182.70214
150	11173.1462
151	11159.00265
152	11143.47801
153	11134.27357
154	11118.69795
155	11106.60766
156	11101.44394
157	11093.52026
158	11089.39545
159	11084.35583
160	11074.56432
161	11066.75572
162	11057.78725
163	11048.92931
164	11035.33739
165	11025.64005
166	11019.01513
167	11007.96922
168	11003.9713
169	10998.78453
170	10989.96643
171	10980.18966
172	10972.40026
173	10967.7726
174	10954.69228
175	10947.06534
176	10938.98273
177	10933.62809
178	10927.4199
179	10912.91769
180	10904.13326
181	10896.90447
182	10889.79364
183	10885.18322
184	10879.57955
185	10869.89514
186	10864.27016
187	10858.54354
188	10850.75806
189	10843.27261
190	10837.98399
191	10832.8463
192	10824.36915
193	10814.13853
194	10808.35954
195	10801.87697
196	10794.09917
197	10788.07618
198	10782.45242
199	10776.26052
200	10764.26142
201	10745.53723
202	10742.10158
203	10739.76141
204	10733.13237
205	10726.40991
206	10720.73482
207	10711.57536
208	10705.53108
209	10701.83035
210	10694.31261
211	10687.15419
212	10682.97493
213	10682.49134
214	10672.61185
215	10670.48431
216	10667.74184
217	10664.84166
218	10662.21203
219	10657.13344
220	10652.9834
221	10648.70881
222	10640.97461
223	10635.34235
224	10633.65036
225	10631.7636
226	10627.3676
227	10624.47295
228	10619.90717
229	10616.3495
230	10612.89732
231	10606.73688
232	10597.52788
233	10587.74503
234	10585.64636
235	10582.55983
236	10576.68782
237	10570.76002
238	10568.76738
239	10558.42425
240	10553.35742
241	10546.9192
242	10544.92646
243	10539.93373
244	10536.43915
245	10534.54933
246	10531.39785
247	10526.8573
248	10522.27075
249	10518.20353
250	10512.50918
251	10510.41591
252	10506.34934
253	10503.31134
254	10496.21504
255	10494.26521
256	10490.67862
257	10487.72046
258	10484.13738
259	10481.4505
260	10477.37444
261	10468.54739
262	10466.23687
263	10461.59762
264	10458.47403
265	10454.18437
266	10452.037
267	10448.41953
268	10445.39208
269	10437.40855
270	10434.61484
271	10432.61121
272	10431.14302
273	10427.60556
274	10425.93484
275	10419.41384
276	10415.71472
277	10414.26093
278	10410.61025
279	10408.63791
280	10407.5288
281	10404.89152
282	10401.88941
283	10396.90219
284	10395.62675
285	10393.75624
286	10391.55922
287	10388.75722
288	10386.95256
289	10385.47386
290	10381.5031
291	10379.2731
292	10370.2865
293	10365.57235
294	10362.0686
295	10350.40001
296	10343.03528
297	10342.50885
298	10340.44417
299	10336.03132
300	10332.73341
301	10326.11871
302	10323.66904
303	10322.81288
304	10321.00599
305	10318.80486
306	10314.22446
307	10311.8961
308	10306.71728
309	10302.64347
310	10296.77113
311	10295.66527
312	10292.4907
313	10290.76519
314	10289.32277
315	10287.44597
316	10284.2806
317	10281.41767
318	10277.85305
319	10276.62299
320	10272.46243
321	10271.0065
322	10268.01268
323	10265.93055
324	10264.39904
325	10262.02285
326	10256.76821
327	10250.73446
328	10248.14125
329	10235.44329
330	10233.24047
331	10229.68552
332	10223.28344
333	10221.26012
334	10216.52471
335	10213.10222
336	10211.77889
337	10209.5907
338	10205.62981
339	10203.8624
340	10202.05505
341	10194.84554
342	10186.16594
343	10183.43837
344	10178.48999
345	10176.70912
346	10174.01023
347	10172.16325
348	10170.82892
349	10163.04785
350	10160.84218
351	10157.35665
352	10150.80003
353	10141.3973
354	10136.24351
355	10131.94351
356	10125.49217
357	10110.4202
358	10095.82402
359	10084.2441
360	10069.07801
361	10062.74636
362	10054.65402
363	10046.00842
364	10040.61222
365	10033.42499
366	10020.3708
367	10013.1056
368	9998.967696
369	9990.086602
370	9979.667035
371	9973.851224
372	9968.016873
373	9960.213185
374	9951.767012
375	9945.150881
376	9937.666271
377	9929.379951
378	9923.067613
379	9915.627245
380	9909.349463
381	9899.790767
382	9886.38431
383	9879.389117
384	9868.119666
385	9861.878279
386	9855.176655
387	9844.516979
388	9839.097705
389	9830.123892
390	9822.49992
391	9815.778492
392	9804.341553
393	9795.748313
394	9790.055821
395	9784.054443
396	9774.174656
397	9767.135757
398	9761.884159
399	9757.486288
400	9752.856041
401	9745.905853
402	9735.412438
403	9730.102591
404	9720.007297
405	9713.778925
406	9708.305091
407	9704.242958
408	9698.310458
409	9694.092516
410	9690.409444
411	9684.411203
412	9675.194441
