iter	Passed	Remaining
0	6	10562
1	10	8687
2	15	8197
3	20	8130
4	24	7689
5	27	7259
6	30	6939
7	33	6662
8	36	6420
9	38	6141
10	40	5870
11	42	5655
12	44	5473
13	46	5316
14	48	5175
15	50	5047
16	53	4943
17	55	4848
18	57	4761
19	59	4677
20	61	4611
21	63	4551
22	65	4489
23	67	4430
24	69	4375
25	71	4325
26	73	4279
27	75	4243
28	77	4217
29	79	4183
30	82	4158
31	84	4136
32	86	4113
33	88	4088
34	90	4063
35	93	4051
36	95	4029
37	97	4007
38	99	3987
39	101	3975
40	104	3958
41	106	3946
42	108	3936
43	111	3925
44	113	3912
45	115	3897
46	117	3885
47	119	3870
48	121	3859
49	124	3846
50	126	3834
51	128	3821
52	130	3812
53	132	3802
54	134	3791
55	137	3781
56	139	3771
57	141	3765
58	143	3760
59	146	3750
60	148	3740
61	150	3734
62	152	3726
63	155	3720
64	157	3714
65	159	3712
66	162	3711
67	164	3704
68	166	3695
69	169	3695
70	171	3692
71	173	3686
72	175	3679
73	178	3671
74	180	3664
75	182	3656
76	184	3648
77	186	3639
78	188	3632
79	190	3627
80	193	3619
81	195	3614
82	197	3608
83	199	3603
84	202	3601
85	204	3598
86	206	3594
87	208	3589
88	211	3583
89	213	3581
90	215	3576
91	217	3570
92	220	3565
93	222	3560
94	224	3554
95	226	3549
96	228	3545
97	231	3540
98	233	3535
99	235	3530
100	237	3525
101	239	3521
102	241	3516
103	244	3511
104	246	3507
105	248	3503
106	250	3500
107	253	3496
108	255	3496
109	257	3492
110	260	3488
111	262	3483
112	264	3479
113	266	3475
114	268	3472
115	271	3470
116	273	3465
117	275	3461
118	278	3459
119	280	3455
120	282	3450
121	284	3446
122	286	3441
123	288	3437
124	291	3434
125	293	3432
126	295	3427
127	297	3424
128	299	3420
129	302	3415
130	304	3413
131	306	3410
132	308	3406
133	311	3403
134	313	3397
135	315	3394
136	317	3390
137	319	3386
138	321	3383
139	324	3379
140	326	3374
